ID,Title,Description,Ingredients
7d9a6e4e-9d34-4715-bf08-5b65f709d664,Klassisk minestronesuppe,"Oppskrift på italiensk minestronesuppe, med gode hermetiske tomater, chorizo og pasta. Et godt middagstips for hele familien! Server gjerne med nystekte rundstykker.","rødløk, hvitløk, stangselleri, gulrøtter, chili, olivenolje, chorizo, hakkede tomater, grønnsakskraft, hvite bønner, purre, pasta, oregano, salt, pepper"
d1ba9cfb-d048-9475-ddb9-1f1aa3cf33f1,Kremet pasta med laks,"Pasta med kremet saus, stekt laks og erter er deilig hverdagsmiddag for hele familien. Jacobs fiskekrydder gir retten det lille ekstra. Rask, sunn og enkelt middagstips.","pasta, frosne grønne erter, smør, creme fraiche"
9f4eac12-2edf-ad9c-14d9-90bb92bcc3d8,Kyllingfilet med soppsaus,"Oppskrift på god og enkel hverdagsmiddag med kylling, ris, kremet saus og sopp. Bruk gjerne fullkornsris, eller prøv ris av havre, spelt eller byggryn for ekstra smak og fiber. Server gjerne også med ekstra grønnsaker som kokt brokkoli og gulrot.","løk, sjampinjong, crême fraiche, soyasaus, kyllingkraft eller buljong"
8bec3976-7837-420d-b94f-d078b2ac6ae3,Klassisk risotto,"Slik lager du klassisk italiensk risotto, med risottoris, kraft, hvitvin og revet parmesan. Se video for steg for steg.","risottoris, olivenolje, gul løk, hvitvin, kyllingkraft, smør, parmesan, salt, pepper"
328e4786-f496-4dde-a5f5-8675668a1c89,Lammeburger med kantareller og tyttebærkrem,"Oppskrift på en saftig høstburger med sesongens sopp og tyttebærkrem av tyttebærsyltetøy og kremost. Høstens kantareller smaker er unike på smak, og rosa krem komplementerer smakene til burgeren perfekt! Digg helgemat som du gjerne kan servere gjester.","MENY lammeburgere, smør, burgerbrød, ferske kantareller, grov sennep, babyleaf mix, liten rødløk, litt frisk timian, grovt kvernet pepper"
fca7b8ac-6337-4f36-9349-086e08b47ee5,Lam i pita,"Om du har rester av lammekjøtt, er denne enkle middagen verdt å prøve! Oppskrift på frityrstekt lam i pitabrød, eller lammekebab, med paprika, søtpotet og squash. Topp det hele med en frisk og mild yoghurtdressing med mynte. Rask middag for hele familien til både hverdag og helg!","pitabrød, lammekjøtt, rød paprika, gul paprika, søtpotet, grønn squash, crispi salat, tempura mix, frityrolje"
0403bedd-5518-79cf-a197-cbe7992106a6,Tradisjonell fårikål,"Klassisk og god oppskrift på fårikål. Retten er enkel å lage, men kjøttet skal trekke i ca. 2,5 time. Du kan gjerne lage fårikål dagen i forveien. Fårikål regnes av mange som Norges nasjonalrett og et av høstens gastronomiske høydepunkter. Som alternativ til fårikålkjøtt av lam, kan du bruke sauekjøtt. Se video for steg for steg.","fårikålkjøtt, hodekål, salt, hel pepper, vann, hvetemel til jevning"
4cd77692-c2e6-40ae-9262-12c8981cb8a5,Quinoasalat med gresskar,"Oppskrift på en mettende og god middagssalat, med krydret quinoa, gresskar med smak av honng og kajenne, og grønnkål. Vi topper salaten med smuldret feta og granateplekjerner.","Hokkaido gresskar, grønnkål, rød spisskål, tørr quinoa, grønnsaksbuljong, fetaost, granateplekjerner, lime, kajennepepper, spisskummin, honning, hvitløksfedd, olje"
c6b34728-be74-dbf1-4fb6-ddf042823f16,Hjemmelaget tomatsuppe,"Oppskrift på tomatsuppe laget fra bunnen. Med hermetiske tomater, grønnsakskraft og noen gode grønnsaker får denne suppen mye god smak. Server den med egg og makaroni, chorizo, parmesan og urter eller som den er med pannekaker som rett nr 2. Se film for steg-for-steg.","løk, gulrot, stangselleri, hvitløk, chili, olivenolje, tomatpure, hermetiske tomater, grønnsakskraft, frisk oregano, sukker, salt, kvernet pepper"
c186a609-41a0-3135-48bc-d1772591f98c,Ravioli med sopp,"Oppskrift på enkel og smaksrik pasta med sopp. Ravioli er fylt pasta, og ligner tortellini. Bruk gjerne sopp i sesong, eller portobellosopp for ekstra fyldig og god smak. Vi serverer med en god tomatsaus, og revet parmesan.",ravioli
4e92723d-a497-d68f-cd23-e031c4709238,Enkel lys lapskaus,"Lapskaus er god, tradisjonsrik høstmat. Sesongens norske rotgrønnsaker kokes møre i kraft fra salt svinekjøtt. Retten tar litt tid, men krever lite arbeid. God søndagsmiddag som kan mette mange.","lettsaltet svineknoke, gulrøtter, kålrabi, løk, liten sellerirot, purre, poteter, pepper"
