id,title,description,ingredients,year,week,week_day
c0f7f17f-977d-4d9d-8eaf-c92720ce5379,Kremet sellerirotsuppe med hasselnøttsmør,"Oppskrift på fløyelsmyk sellerirotsuppe med eple, en nydelig rett å servere om høsten, når både rotgrønnsaker og epler er i sesong. Enkel vegetar suppe toppet med hasselnøttsmør, fetaost og dill, som lages i en fei! Server som smaksrik forrett, eller som hovedrett med godt brød til.","sellerirot, eple, olivenolje, rømme, vann, hvite bønner, grønnsaksbuljongterninger, salt, pepper",2023,41,Mandag
7c8a23cf-afff-431b-b847-7ca22c97254b,Lakseburger med mango,"Oppskrift på saftig lakseburger med kuttet mango og guacamole. Burgeren trenger kun få minutter i stekepannen, så denne familievennlige middagen er klar på kort tid. Guacamole kan du kjøpe ferdig, eller lage selv. [Se egen oppskrift her.](/oppskrifter/Sauser-og-dressinger/Dipper/Hjemmelaget-guacamole/)","salmaburger, salt, pepper, rapsolje, burgerbrød, guacamole, mango, rødløk",2023,41,Tirsdag
a2dbe56f-a393-3c7e-133a-d4b7ed4af0a7,Tortellini med kylling og pesto,"Pasta med kylling, grønn pesto og parmesan utgjør en knallgod hverdagsmiddag på under 20 minutter. Del gjerne kyllingfilet på langs for kortere steketid, eller bruk strimlet kylling. Alle varianter av pastaputer kan brukes, som tortelloni eller ravioli.","tortellini, pesto, kyllingfilet, parmesan, revet, ristede pinjekjerner",2023,41,Onsdag
9717e65a-95f8-4c38-b6bb-6f647b0494b3,Urtebakt kveitefilet med honningglaserte rotgrønnsaker,"Kveite er en av havets mest eksklusive fisk og veldig god på smak. Her får du en oppskrift på nydelig kveitefilet med masse gode urter samt urtesmør med ramsløk, servert med honningglaserte rotgrønnsaker og saltbakte morenepoteter. En sikker vinner!","kveitefilet, urtesmør med ramsløk og havsalt, pepper, grovhakkede urter",2023,41,Torsdag
62cb6733-d0c3-4daa-ad31-4ef6d4eac281,Klassisk finnbiff,"Reinskavgryte er en tradisjonell samisk gryterett med viltkjøtt. Denne oppskriften med skav av reinsdyr, bacon, geitost, sopp og einebær er enkel og rik på smak. Server gjerne med hjemmelaget potetmos og tyttebærsyltetøy.","reinskav, frisk sopp, bacon, smør, nykvernet pepper, salt, tørkede enebær, TINE crème fraîche, viltkraft, geitost, bladpersille, matfløte",2023,41,Fredag
dfe7a56a-1801-47c2-ac99-7fd125322851,Pizza di Parma,"Oppskrift på pizza di parma. En italiensk klassiker med tomatsaus, parmaskinke, Fiordilatte og Bufar Valdres, toppet med frisk ruccola. Til denne oppskriften trenger du en ferdig hevet grunndeig til pizza. Se oppskrift nedenfor.","grunndeig pizza,, Caputo Durum semola, Mutti pizzasaus, Fiordilatte,, Tanzi parma, bufar valdres, ruccola",2023,41,Lørdag
615249b8-f9cb-f994-a713-1734f1e60b8e,Bresert lammeskank,"Oppskrift på møre og smaksrike lammeskanker, bresert i ovn. Å bresere er når man først bruner kjøttet og så langtidssteker det i en kjele i ovnen med væske, slik at man får god kraft. Dette er nydelig høstmat med mørt og smaksrikt kjøtt som faller av benet.","gulrot, purre, hvitløk, lammeskank, grovhakkede tomater, rødvin, hel, sort pepper, salt, timian, laurbærblad, vann så det dekker",2023,41,Søndag
5f88a2c1-a078-7334-e19d-2bae7d71fada,Kremet soppsuppe,"Nå er soppsesongen her! Lurer du på hva du kan lage med sopp? Her får du vår oppskrift på varmende høstsuppe med kantareller, fløte og god kyllingkraft. Server den fyldige suppen som forrett eller til hovedrett med fersk brød.","kantareller, løk, smør, kyllingkraft, kremfløte, crème fraîche, maizenamel, kaldt vann",2023,40,Mandag
45365543-d026-4d10-9435-877b9f0bfbc5,Laksefilet med sellerirotmos,"Oppskrift på enkel, rask, og litt sunnere middag med fisk. Denne smakfulle retten med stekt laks, kremet sellerirotmos og syltet rødløk lager du enkelt på under 20 minutter, og den egner seg like godt til hverdag som til helg.","lakseporsjoner, grønnkål mix, sellerirotmos, syltet rødløk, runde sukkererter",2023,40,Tirsdag
b597b742-e9d9-4aa4-b3a6-4572202e8c4b,Kylling red curry,"Enkel oppskrift på kylling red curry. Stekt kylling i strimler blandet med en knallgod currybase som kun skal varmes, med masse smak og akkurat passe chili for deg som liker liker det litt hot. Server gjerne med lunt nan brød og ris.","strimlet kylling, rapsolje, rød paprika, MENY red curry base, ferdig kokt ris, nan brød",2023,40,Onsdag
